username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Feracosta2017;2018-12-07 20:43;0;0;"Necesitamos una fuerza pública más agresiva para acabar con estos bandidos disfrazados de estudiantes. Esto se tiene que acabar en la Universidad del Valle. Cómo es posible que un puñado de bandidos paralicen el sur de Cali cuando les viene en gana. No más, acabar con esa plaga.";;;;"1071143245848166400";https://twitter.com/Feracosta2017/status/1071143245848166400
OrgulloSudaka;2018-12-07 20:20;0;0;"Cali llora indignada por una bola y unos cables de su alumbrado navideño, llora Cali e indígnate por tu Universidad del Valle y tus colegios públicos, que no tienen recursos y sus instalaciones se caen a pedazos... ";;;;"1071137373147287554";https://twitter.com/OrgulloSudaka/status/1071137373147287554
jaguarscoven;2018-12-07 20:00;0;0;"segunda vez que intento entrar a la universidad del Valle y no quedo:((( ¿por que la vida es así? ";;;;"1071132314586005504";https://twitter.com/jaguarscoven/status/1071132314586005504
JacquelineRodga;2018-12-07 19:41;0;0;"Oí oí oí (@Universidad del Valle de México (UVM) in Saltillo, Coahuila) ";;;;"1071127466524196864";https://twitter.com/JacquelineRodga/status/1071127466524196864
abuimona;2018-12-07 19:06;0;1;"Soy egresada de la Universidad del Valle de eso ya hace 30 años y el 95% de mis profesores eran doctores o postdoctor. No sé cómo sería en esa época en las universidades privadas pero en las públicas era un requisito";;;;"1071118879039127552";https://twitter.com/abuimona/status/1071118879039127552
FundacionGanfer;2018-12-07 18:49;0;0;"Presentación del concurso de Cineminuto de Universidad Del Valle de México campus Hermosillo, donde Fundación GANFER premia la categoría de impacto social con los temas “Si te Pasas te Pasa” y “Decisiones Inteligentes” del programa @Unpasoatiempo_ . #SoloParaServir";;@Unpasoatiempo_;#SoloParaServir;"1071114421425135616";https://twitter.com/FundacionGanfer/status/1071114421425135616
WRadioColombia;2018-12-07 18:21;2;4;"#VickyYPelaezEnLaW Amenazaron a una de las líderes estudiantiles de la Universidad del Valle: Vicky Dávila &gt;&gt;&gt; ";;;#VickyYPelaezEnLaW;"1071107368904286208";https://twitter.com/WRadioColombia/status/1071107368904286208
mauricioramosg2;2018-12-07 17:31;15;14;"SINTRAINAGRO departamento del azúcar, rechaza el matoneo a los líderes estudiantiles y las amenazas a Sara Isabel Bolaños, líder estudiantil de la Universidad del Valle, ";;;;"1071094898424725504";https://twitter.com/mauricioramosg2/status/1071094898424725504
mospal92;2018-12-07 17:14;0;0;"En la #UniversidadDelValle se decidió que el ACREES NO NOS REPRESENTA. No sé por qué quieren venir a tomar la batuta del manejo que se le da al paro, cuando lo único que les interesa es la pantalla. Me enerva.";;;#UniversidadDelValle;"1071090577553440776";https://twitter.com/mospal92/status/1071090577553440776
Diarioccidente;2018-12-07 17:01;0;0;"#Cali | La Universidad del Valle dio a conocer el listado de admitidos en Cali para el primer semestre de 2019, comprendido entre febrero y junio. Consulte los resultados aquí. http://bit.ly/2E6Ce11 - vía @Diarioccidente";;@Diarioccidente;#Cali;"1071087354625081346";https://twitter.com/Diarioccidente/status/1071087354625081346
